eax,syscall,ebx,ecx,edx,esi,edi,ebp
0,restart,,,,,,,,
234,flistxattr,int fd,char *list,size_t size,,,,,
235,removexattr,const char *pathname,const char *name,,,,,,
236,lremovexattr,const char *pathname,const char *name,,,,,,
237,fremovexattr,int fd,const char *name,,,,,,
238,tkill,pid_t pid,int sig,,,,,,
239,sendfile64,int out_fd,int in_fd,loff_t *offset,size_t count,,,,
240,futex,u32 *uaddr,int op,u32 val,struct timespec *utime,u32 *uaddr2,u32 val3,,
241,sched_setaffinity,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,,,,,
242,sched_getaffinity,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,,,,,
243,set_thread_area,struct user_desc *u_info,,,,,,,
244,get_thread_area,struct user_desc *u_info,,,,,,,
245,io_setup,unsigned nr_events,aio_context_t *ctxp,,,,,,
246,io_destroy,aio_context_t ctx,,,,,,,
247,io_getevents,aio_context_t ctx_id,long min_nr,long nr,struct io_event *events,struct timespec *timeout,,,
248,io_submit,aio_context_t ctx_id,long nr,struct iocb * *iocbpp,,,,,
249,io_cancel,aio_context_t ctx_id,struct iocb *iocb,struct io_event *result,,,,,
250,fadvise64,loff_t offset size_t len,int advice,,,,,,
252,exit_group,int error_code,,,,,,,
253,lookup_dcookie,char *buf size_t len,,,,,,,
254,epoll_create,int size,,,,,,,
255,epoll_ctl,int epfd,int op,int fd,struct epoll_event *event,,,,
256,epoll_wait,int epfd,struct epoll_event *events,int maxevents,int timeout,,,,
257,remap_file_pages,unsigned long start,unsigned long size,unsigned long prot,unsigned long pgoff,unsigned long flags,,,
258,set_tid_address,int *tidptr,,,,,,,
259,timer_create,const clockid_t which_clock,struct sigevent *timer_event_spec,timer_t *created_timer_id,,,,,
260,timer_settime,timer_t timer_id,int flags,const struct itimerspec *new_setting,struct itimerspec *old_setting,,,,
261,timer_gettime,timer_t timer_id,struct itimerspec *setting,,,,,,
262,timer_getoverrun,timer_t timer_id,,,,,,,
263,timer_delete,timer_t timer_id,,,,,,,
264,clock_settime,const clockid_t which_clock,const struct timespec *tp,,,,,,
265,clock_gettime,const clockid_t which_clock,struct timespec *tp,,,,,,
266,clock_getres,const clockid_t which_clock,struct timespec *tp,,,,,,
267,clock_nanosleep,const clockid_t which_clock,int flags,const struct timespec *rqtp,struct timespec *rmtp,,,,
268,statfs64,const char *pathname,size_t sz,struct statfs64 *buf,,,,,
269,fstatfs64,unsigned int fd,size_t sz,struct statfs64 *buf,,,,,
270,tgkill,pid_t tgid,pid_t pid,int sig,,,,,
271,utimes,char *filename,struct timeval *utimes,,,,,,
272,fadvise64_64,loff_t offset loff_t len,int advice,,,,,,
273,vserver,,,,,,,,
274,mbind,unsigned long start,unsigned long len,unsigned long mode,unsigned long *nmask,unsigned long maxnode,unsigned flags,,
275,get_mempolicy,int *policy,unsigned long *nmask,unsigned long maxnode,unsigned long addr,unsigned long flags,,,
276,set_mempolicy,int mode,unsigned long *nmask,unsigned long maxnode,,,,,
277,mq_open,const char *u_name,int oflag,umode_t mode,struct mq_attr *u_attr,,,,
278,mq_unlink,const char *u_name,,,,,,,
279,mq_timedsend,mqd_t mqdes,const char *u_msg_ptr,size_t msg_len,unsigned int msg_prio,const struct timespec *u_abs_timeout,,,
280,mq_timedreceive,mqd_t mqdes,char *u_msg_ptr,size_t msg_len,unsigned int *u_msg_prio,const struct timespec *u_abs_timeout,,,
281,mq_notify,mqd_t mqdes,const struct sigevent *u_notification,,,,,,
282,mq_getsetattr,mqd_t mqdes,const struct mq_attr *u_mqstat,struct mq_attr *u_omqstat,,,,,
283,kexec_load,unsigned long entry,unsigned long nr_segments,struct kexec_segment *segments,unsigned long flags,,,,
284,waitid,int which,pid_t upid,struct siginfo *infop,int options,struct rusage *ru,,,
286,add_key,const char *_type,const char *_description,const void *_payload,size_t plen,key_serial_t ringid,,,
287,request_key,const char *_type,const char *_description,const char *_callout_info,key_serial_t destringid,,,,
288,keyctl,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,,,
289,ioprio_set,int which,int who,int ioprio,,,,,
290,ioprio_get,int which,int who,,,,,,
291,inotify_init,,,,,,,,
292,inotify_add_watch,int fd,const char *pathname,u32 mask,,,,,
293,inotify_rm_watch,int fd,__s32 wd,,,,,,
294,migrate_pages,pid_t pid,unsigned long maxnode,const unsigned long *old_nodes,const unsigned long *new_nodes,,,,
295,openat,int dfd,const char *filename,int flags,umode_t mode,,,,
296,mkdirat,int dfd,const char *pathname,umode_t mode,,,,,
297,mknodat,int dfd,const char *filename,umode_t mode,unsigned dev,,,,
298,fchownat,int dfd,const char *filename,uid_t user,gid_t group,int flag,,,
299,futimesat,int dfd,const char *filename,struct timeval *utimes,,,,,
300,fstatat64,int dfd,const char *filename,struct stat64 *statbuf,int flag,,,,
301,unlinkat,int dfd,const char *pathname,int flag,,,,,
302,renameat,int olddfd,const char *oldname,int newdfd,const char *newname,,,,
303,linkat,int olddfd,const char *oldname,int newdfd,const char *newname,int flags,,,
304,symlinkat,const char *oldname,int newdfd,const char *newname,,,,,
305,readlinkat,int dfd,const char *pathname,char *buf,int bufsiz,,,,
306,fchmodat,int dfd,const char *filename,umode_t mode,,,,,
307,faccessat,int dfd,const char *filename,int mode,,,,,
308,pselect6,int n,fd_set *inp,fd_set *outp,fd_set *exp,struct timespec *tsp,void *sig,,
309,ppoll,struct pollfd *ufds,unsigned int nfds,struct timespec *tsp,const sigset_t *sigmask,size_t sigsetsize,,,
310,unshare,unsigned long unshare_flags,,,,,,,
311,set_robust_list,struct robust_list_head *head,size_t len,,,,,,
312,get_robust_list,int pid,struct robust_list_head * *head_ptr,size_t *len_ptr,,,,,
313,splice,int fd_in,loff_t *off_in,int fd_out,loff_t *off_out,size_t len,unsigned int flags,,
314,sync_file_range,loff_t offset loff_t nbytes,unsigned int flags,,,,,,
315,tee,int fdin,int fdout,size_t len,unsigned int flags,,,,
316,vmsplice,int fd,const struct iovec *iov,unsigned long nr_segs,unsigned int flags,,,,
317,move_pages,pid_t pid,unsigned long nr_pages,const void * *pages,const int *nodes,int *status,int flags,,
318,getcpu,unsigned *cpup,unsigned *nodep,struct getcpu_cache *unused,,,,,
319,epoll_pwait,int epfd,struct epoll_event *events,int maxevents,int timeout,const sigset_t *sigmask,size_t sigsetsize,,
320,utimensat,int dfd,const char *filename,struct timespec *utimes,int flags,,,,
321,signalfd,int ufd,sigset_t *user_mask,size_t sizemask,,,,,
322,timerfd_create,int clockid,int flags,,,,,,
323,eventfd,unsigned int count,,,,,,,
324,fallocate,int mode loff_t offset,loff_t len,,,,,,
325,timerfd_settime,int ufd,int flags,const struct itimerspec *utmr,struct itimerspec *otmr,,,,
326,timerfd_gettime,int ufd,struct itimerspec *otmr,,,,,,
327,signalfd4,int ufd,sigset_t *user_mask,size_t sizemask,int flags,,,,
328,eventfd2,unsigned int count,int flags,,,,,,
329,epoll_create1,int flags,,,,,,,
330,dup3,unsigned int oldfd,unsigned int newfd,int flags,,,,,
331,pipe2,int *fildes,int flags,,,,,,
332,inotify_init1,int flags,,,,,,,
333,preadv,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,,,
334,pwritev,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,,,
335,rt_tgsigqueueinfo,pid_t tgid,pid_t pid,int sig,siginfo_t *uinfo,,,,
336,perf_event_open,struct perf_event_attr *attr_uptr,pid_t pid,int cpu,int group_fd,unsigned long flags,,,
337,recvmmsg,int fd,struct mmsghdr *mmsg,unsigned int vlen,unsigned int flags,struct timespec *timeout,,,
